YEAR MO DY HR MN   Hs   Tp   Dp    Depth   Ta    Pres   Wspd Wdir Temp   Temp  Cspd Cdir P
      UTC           m   sec  deg     m     sec    mB     m/s  deg Air(C) Sfc(C) m/s deg  f
2008 08 10 22 54  0.63  7.14  46           4.02                           29.0           1
2008 08 10 23 24  0.70  6.67  46           4.02                           29.0           1
2008 08 10 23 54  0.67  5.26  43           4.14                           29.0           1
2008 08 11 00 24  0.67  6.67  46           4.18                           29.0           1
2008 08 11 00 54  0.63  6.25  47           4.08                           29.0           1
2008 08 11 01 24  0.74  6.25  52           4.10                           29.0           1
2008 08 11 01 54  0.71  6.25  49           4.04                           29.0           1
2008 08 11 02 24  0.72  5.88  47           4.14                           29.0           1
2008 08 11 02 54  0.68  6.25  49           3.95                           29.0           1
2008 08 11 03 24  0.73  6.25  49           3.96                           29.0           1
2008 08 11 03 54  0.78  6.67  49           4.10                           29.0           1
2008 08 11 04 24  0.76  5.56  49           4.12                           29.0           1
2008 08 11 04 54  0.79  6.25  45           4.19                           29.0           1
2008 08 11 05 24  0.86  5.88  46           4.23                           29.0           1
2008 08 11 05 54  0.88  6.25  46           4.28                           29.0           1
2008 08 11 06 24  0.90  6.25  50           4.40                           28.9           1
2008 08 11 06 54  0.86  7.14  46           4.48                           28.9           1
2008 08 11 07 24  0.90  6.25  46           4.60                           28.9           1
2008 08 11 07 54  0.87  7.14  52           4.77                           28.9           1
2008 08 11 08 24  0.84  6.67  47           4.56                           28.9           1
2008 08 11 08 54  0.83  6.67  47           4.53                           28.9           1
2008 08 11 09 24  0.81  6.67  49           4.53                           28.8           1
2008 08 11 09 54  0.81  6.67  50           4.31                           28.9           1
2008 08 11 10 24  0.81  7.14  47           4.24                           28.8           1
2008 08 11 10 54  0.87  6.67  50           4.31                           28.9           1
2008 08 11 11 24  0.87  6.67  50           4.32                           28.8           1
2008 08 11 11 54  0.90  6.67  46           4.31                           28.9           1
2008 08 11 12 24  0.90  6.67  52           4.32                           28.9           1
2008 08 11 12 54  0.95  6.25  47           4.45                           28.9           1
2008 08 11 13 24  0.94  7.69  50           4.26                           28.9           1
2008 08 11 13 54  0.93  7.14  53           4.25                           29.0           1
2008 08 11 14 24  0.93  6.25  53           4.28                           29.0           1
2008 08 11 14 54  0.95  7.14  55           4.29                           29.0           1
2008 08 11 15 24  0.89  6.25  49           4.33                           29.0           1
2008 08 11 15 54  0.90  6.67  50           4.35                           29.0           1
2008 08 11 16 24  0.84  5.88  50           4.31                           29.0           1
2008 08 11 16 54  0.80  5.88  47           4.30                           29.1           1
2008 08 11 17 24  0.79  6.67  49           4.17                           29.1           1
2008 08 11 17 54  0.76  6.67  50           4.27                           29.1           1
2008 08 11 18 24  0.71  5.26  49           4.18                           29.1           1
2008 08 11 18 54  0.72  6.67  47           4.31                           29.2           1
2008 08 11 19 24  0.69  7.14  47           4.23                           29.1           1
2008 08 11 19 54  0.64  5.56  49           4.11                           29.2           1
2008 08 11 20 24  0.63  5.88  46           3.94                           29.2           1
2008 08 11 20 54  0.63  6.25  46           3.95                           29.2           1
2008 08 11 21 24  0.74  6.67  46           4.28                           29.1           1
2008 08 11 21 54  0.74  6.67  47           4.21                           29.1           1
2008 08 11 22 24  0.81  6.25  45           4.03                           29.1           1
2008 08 11 22 54  0.83  6.25  50           3.96                           29.0           1
2008 08 11 23 24  0.85  5.26  50           3.97                           29.0           1
2008 08 11 23 54  0.85  6.67  46           4.01                           29.0           1
2008 08 12 00 24  0.86  5.26  46           3.97                           29.0           1
2008 08 12 00 54  0.81  5.56  46           3.91                           29.0           1
2008 08 12 01 24  0.81  3.57  43           3.88                           29.0           1
2008 08 12 01 54  0.83  5.00  47           3.95                           29.0           1
2008 08 12 02 24  0.87  5.56  52           3.95                           29.0           1
2008 08 12 02 54  0.91  6.67  47           4.08                           29.0           1
2008 08 12 03 24  0.87  7.14  52           4.04                           29.0           1
2008 08 12 03 54  0.90  7.69  52           4.21                           29.0           1
2008 08 12 04 24  0.84  6.67  49           4.08                           29.0           1
2008 08 12 04 54  0.83  7.14  49           4.14                           29.0           1
2008 08 12 05 24  0.83  7.69  50           4.14                           29.0           1
2008 08 12 05 54  0.81  8.33  50           4.10                           29.0           1
2008 08 12 06 24  0.75  7.69  49           4.13                           29.0           1
2008 08 12 06 54  0.71  7.69  50           4.07                           29.0           1
2008 08 12 07 24  0.71  7.14  47           4.11                           29.0           1
2008 08 12 07 54  0.72  7.69  50           4.12                           29.0           1
2008 08 12 08 24  0.76  7.69  57           4.19                           29.0           1
2008 08 12 08 54  0.75  7.69  50           4.03                           29.0           1
2008 08 12 09 24  0.78  7.69  55           4.15                           29.0           1
2008 08 12 09 54  0.80  8.33  52           4.02                           29.0           1
2008 08 12 10 24  0.91  7.14  55           4.17                           28.9           1
2008 08 12 10 54  0.88  7.14  52           4.27                           29.0           1
2008 08 12 11 24  0.86  4.76  49           4.12                           29.0           1
2008 08 12 11 54  0.88  6.67  52           4.10                           29.0           1
2008 08 12 12 24  0.90  7.14  55           4.05                           29.0           1
2008 08 12 12 54  0.95  6.67  50           4.06                           29.0           1
2008 08 12 13 24  0.92  4.55  43           4.09                           29.0           1
2008 08 12 13 54  0.98  7.14  52           4.06                           29.0           1
2008 08 12 14 24  0.94  5.26  42           4.05                           29.0           1
2008 08 12 14 54  0.96  5.56  46           4.16                           29.0           1
2008 08 12 15 24  0.99  4.55  38           4.15                           29.0           1
2008 08 12 15 54  1.00  5.26  46           4.33                           29.1           1
2008 08 12 16 24  0.95  4.76  47           4.33                           29.0           1
2008 08 12 16 54  0.92  5.56  47           4.31                           29.0           1
2008 08 12 17 24  0.88  6.67  50           4.41                           29.0           1
2008 08 12 17 54  0.88  5.26  50           4.31                           29.1           1
2008 08 12 18 24  0.91  5.88  50           4.09                           29.1           1
2008 08 12 18 54  0.89  5.26  49           4.12                           29.1           1
2008 08 12 19 24  0.83  5.88  46           3.96                           29.1           1
2008 08 12 19 54  0.86  5.88  45           4.11                           29.2           1
2008 08 12 20 24  0.90  5.56  46           4.13                           29.2           1
2008 08 12 20 54  0.94  5.26  43           4.18                           29.2           1
2008 08 12 21 24  0.90  4.76  42           4.10                           29.2           1
2008 08 12 21 54  0.91  6.25  47           4.01                           29.2           1
2008 08 12 22 24  0.95  5.56  47           3.99                           29.2           1
2008 08 12 22 54  0.98  4.00  42           4.01                           29.2           1
2008 08 12 23 24  1.00  5.56  50           4.06                           29.2           1
2008 08 12 23 54  1.04  5.56  50           4.14                           29.2           1
2008 08 13 00 24  1.04  5.00  45           4.03                           29.1           1
2008 08 13 00 54  1.04  4.76  43           4.07                           29.2           1
2008 08 13 01 24  1.08  5.26  47           4.13                           29.2           1
2008 08 13 01 54  1.09  5.00  49           4.14                           29.1           1
2008 08 13 02 24  1.01  4.76  40           4.13                           29.1           1
2008 08 13 02 54  1.07  5.26  50           4.25                           29.1           1
2008 08 13 03 24  1.06  5.00  47           4.24                           29.1           1
2008 08 13 03 54  1.04  5.88  56           4.25                           29.1           1
2008 08 13 04 24  1.03  4.55  49           4.30                           29.1           1
2008 08 13 04 54  0.94  6.25  52           4.26                           29.1           1
2008 08 13 05 24  0.87  5.88  47           4.21                           29.1           1
2008 08 13 05 54  0.84  5.00  47           4.20                           29.1           1
